census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2002,251,107539,107539,15-31 Pelham Street CARLTON 3053,Carlton,Commercial,113,144.96731,-37.80522
2002,265,109845,109845,110-120 Victoria Street CARLTON 3053,Carlton,Commercial,465,144.96262,-37.8077
2002,271,102054,102054,65 College Crescent PARKVILLE 3052,Parkville,Private,130,144.9581,-37.79678
2002,317,106338,106338,98-110 Macaulay Road NORTH MELBOURNE 3051,North Melbourne,Private,141,144.94133,-37.79929
2002,319,106336,106336,112-166 Macaulay Road NORTH MELBOURNE 3051,North Melbourne,Private,141,144.94035,-37.79846
2002,520,107056,102489,94 Ormond Street KENSINGTON 3031,Kensington,Residential,100,144.92534,-37.79842
2002,607,110002,110002,98-108 Wellington Parade EAST MELBOURNE 3002,East Melbourne,Private,102,144.98546,-37.81783
2002,650,110659,101782,2-20 Lansdowne Street EAST MELBOURNE 3002,East Melbourne,Private,100,144.9756,-37.81192
2002,658,111200,110264,Punt Road JOLIMONT 3002,East Melbourne,Private,100,144.98596,-37.82139
2002,659,100847,100847,Batman Avenue MELBOURNE 3004,Melbourne (Remainder),Private,658,144.97775,-37.82282
2002,720,108626,108626,409-413 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Private,124,144.97555,-37.839
2002,724,108647,108647,541-543 St Kilda Road PRAHRAN 3181,Melbourne (Remainder),Private,130,144.97874,-37.84771
2002,724,108649,108649,549-551 St Kilda Road PRAHRAN 3181,Melbourne (Remainder),Private,250,144.97898,-37.84823
2002,724,108650,108650,553-555 St Kilda Road PRAHRAN 3181,Melbourne (Remainder),Commercial,170,144.97906,-37.84849
2002,732,110483,110483,127-135 Clarendon Street SOUTHBANK 3006,Southbank,Commercial,225,144.9578,-37.82989
2002,738,110620,110620,102-118 Sturt Street SOUTHBANK 3006,Southbank,Commercial,200,144.96513,-37.82581
2002,738,110621,110621,120-150 Sturt Street SOUTHBANK 3006,Southbank,Residential,144,144.96494,-37.82642
